ID;DOCID;BEGINTIME;ENDTIME;BEGINTIME_P;ENDTIME_P;ENABLED;SHIFTDATE;HIDEINTALONS
70971;55;0.375;0.5;;;1;44366;0
70972;55;0.375;0.5;;;0;44367;0
70973;55;0.375;0.5;;;1;44373;0
70991;176;0.333333;0.541667;;;0;44367;0
70992;176;0.333333;0.541667;;;0;44374;0
70995;176;0.680556;0.833333;;;1;44365;0
70996;176;0.680556;0.833333;;;1;44372;0
71001;414;0.6875;0.791667;;;1;44369;0
71002;414;0.6875;0.791667;;;1;44376;0
71005;414;0.375;0.5;;;1;44366;0
71006;414;0.375;0.5;;;1;44373;0
71012;131;0.458333;0.666667;;;0;44373;0
71018;24;0.666667;0.729167;;;1;44368;0
71019;24;0.666667;0.729167;;;0;44375;0
71027;147;0.708333;0.833333;;;1;44363;0
71028;147;0.708333;0.833333;;;1;44370;0
71029;147;0.708333;0.833333;;;1;44377;0
71033;487;0.333333;0.583333;;;0;44366;0
71034;487;0.333333;0.583333;;;0;44373;0
71042;440;0.375;0.625;;;0;44363;0
71043;440;0.375;0.625;;;1;44365;0
71044;440;0.375;0.625;;;1;44370;0
71045;440;0.375;0.625;;;1;44372;0
71046;440;0.375;0.625;;;1;44377;0
71050;16;0.416667;0.541667;;;1;44366;0
71051;16;0.416667;0.541667;;;1;44373;0
71055;473;0.416667;0.5;;;1;44368;0
71056;473;0.416667;0.5;;;1;44375;0
71061;473;0.416667;0.541667;;;0;44363;0
71062;473;0.416667;0.541667;;;1;44365;0
71063;473;0.416667;0.541667;;;0;44370;0
71064;473;0.416667;0.541667;;;1;44372;0
71065;473;0.416667;0.541667;;;0;44377;0
71066;473;0.416667;0.541667;;;1;44379;0
71072;269;0.291667;0.625;;;1;44364;0
71073;269;0.291667;0.625;;;1;44369;0
71074;269;0.291667;0.625;;;1;44371;0
71075;269;0.291667;0.625;;;0;44376;0
71076;269;0.291667;0.625;;;1;44378;0
71088;245;0.625;0.833333;;;1;44363;0
71089;245;0.625;0.833333;;;1;44364;0
71090;245;0.625;0.833333;;;1;44365;0
71091;245;0.625;0.833333;;;1;44368;0
71092;245;0.625;0.833333;;;1;44369;0
71093;245;0.625;0.833333;;;1;44370;0
71094;245;0.625;0.833333;;;1;44371;0
71095;245;0.625;0.833333;;;1;44372;0
71096;245;0.625;0.833333;;;1;44375;0
71097;245;0.625;0.833333;;;1;44376;0
71098;245;0.625;0.833333;;;1;44377;0
71099;245;0.625;0.833333;;;1;44378;0
71100;245;0.625;0.833333;;;1;44379;0
71104;490;0.625;0.75;;;1;44369;0
71105;490;0.625;0.75;;;1;44376;0
71108;11;0.6875;0.833333;;;1;44368;0
71109;11;0.6875;0.833333;;;1;44375;0
71114;377;0.375;0.583333;;;1;44363;0
71115;377;0.375;0.583333;;;1;44365;0
71116;377;0.375;0.583333;;;1;44370;0
71117;377;0.375;0.583333;;;1;44372;0
71118;377;0.375;0.583333;;;1;44377;0
71119;377;0.375;0.583333;;;1;44379;0
71122;11;0.333333;0.5;;;0;44366;0
71123;11;0.333333;0.5;;;0;44373;0
71124;11;0.333333;0.5;;;1;44380;0
71127;322;0.333333;0.5;;;1;44366;0
71128;322;0.5;0.625;;;1;44373;0
71129;322;0.5;0.625;;;1;44380;0
71136;472;0.333333;0.458333;;;1;44363;0
71137;472;0.333333;0.458333;;;1;44365;0
71138;472;0.333333;0.458333;;;1;44368;0
71139;472;0.333333;0.458333;;;1;44370;0
71140;472;0.333333;0.458333;;;1;44372;0
71141;472;0.333333;0.458333;;;1;44375;0
71142;472;0.333333;0.458333;;;1;44377;0
71143;472;0.333333;0.458333;;;1;44379;0
71149;472;0.5;0.625;;;0;44364;0
71150;472;0.5;0.625;;;1;44369;0
71151;472;0.5;0.625;;;1;44371;0
71152;472;0.5;0.625;;;1;44376;0
71153;472;0.5;0.625;;;1;44378;0
71158;478;0.333333;0.5;;;0;44363;0
71159;478;0.333333;0.5;;;0;44368;0
71160;478;0.333333;0.5;;;0;44370;0
71161;478;0.333333;0.5;;;1;44375;0
