ID;DOCID;BEGINTIME;ENDTIME;SHIFTDATE;ENABLED
395671;16;0.416667;0.434028;44373;1
396784;365;0.416667;0.4375;44366;1
397026;402;0.333333;0.336806;44368;1
397046;80;0.354167;0.479167;44373;1
397195;176;0.680556;0.833333;44365;1
397196;176;0.333333;0.541667;44367;0
397197;176;0.680556;0.833333;44372;1
397198;176;0.333333;0.541667;44374;0
397231;181;0.541667;0.583333;44371;1
397308;92;0.770833;0.788194;44364;1
397341;474;0.354167;0.541667;44370;1
397342;474;0.354167;0.541667;44372;1
397459;245;0.416667;0.434028;44363;1
397460;245;0.416667;0.434028;44364;1
397461;245;0.416667;0.4375;44365;1
397463;245;0.416667;0.4375;44366;1
397464;245;0.416667;0.4375;44367;1
397466;245;0.416667;0.4375;44368;1
397468;245;0.416667;0.4375;44369;1
397469;245;0.416667;0.4375;44370;1
397573;181;0.652778;0.666667;44364;0
397747;16;0.4375;0.458333;44366;1
397790;16;0.416667;0.4375;44366;0
397811;16;0.4375;0.454861;44373;1
397842;16;0.458333;0.479167;44366;1
397890;300;0.541667;0.583333;44369;1
397891;300;0.541667;0.583333;44376;1
397990;139;0.625;0.642361;44370;1
398245;402;0.333333;0.336806;44363;1
398246;394;0.666667;0.833333;44377;1
398303;16;0.479167;0.5;44366;0
398375;416;0.75;0.767361;44368;1
398387;482;0.333333;0.336806;44368;1
398389;482;0.333333;0.336806;44369;1
398578;41;0.5;0.517361;44376;1
398718;145;0.416667;0.430556;44374;1
398810;16;0.5;0.520833;44366;1
398814;38;0.458333;0.472222;44366;1
398850;92;0.711806;0.725694;44364;1
398877;386;0.416667;0.427083;44363;1
398900;300;0.4375;0.458333;44368;1
398924;504;0.479167;0.5;44363;1
398925;504;0.729167;0.75;44364;1
398926;504;0.479167;0.5;44365;1
398927;504;0.479167;0.5;44368;1
398929;504;0.729167;0.75;44369;1
398930;504;0.479167;0.5;44370;1
398931;504;0.729167;0.75;44371;1
398933;504;0.479167;0.5;44372;1
398935;504;0.479167;0.5;44375;1
398936;504;0.770833;0.791667;44376;1
398937;504;0.479167;0.5;44377;1
398944;145;0.416667;0.430556;44367;1
398961;300;0.666667;0.677083;44364;1
398992;386;0.40625;0.413194;44363;1
398994;16;0.520833;0.534722;44366;1
399105;472;0.333333;0.458333;44377;1
399106;464;0.333333;0.458333;44377;1
399108;269;0.333333;0.458333;44377;1
399117;478;0.333333;0.458333;44377;1
399138;296;0.375;0.395833;44364;0
399228;386;0.430556;0.444444;44363;0
399236;455;0.375;0.392361;44368;1
399248;47;0.666667;0.6875;44369;1
399249;47;0.666667;0.6875;44376;1
399251;47;0.666667;0.673611;44364;0
399252;47;0.666667;0.6875;44371;1
399259;337;0.375;0.385417;44368;0
399319;386;0.444444;0.451389;44363;0
399324;473;0.416667;0.5;44375;1
399431;396;0.666667;0.75;44365;1
399440;80;0.3125;0.326389;44369;1
399522;61;0.458333;0.5;44370;1
399568;61;0.333333;0.350694;44363;1
399597;386;0.402778;0.416667;44370;1
399620;61;0.3125;0.329861;44363;1
399632;16;0.458333;0.479167;44373;1
399635;38;0.333333;0.347222;44369;1
399636;365;0.354167;0.375;44369;1
399688;61;0.479167;0.5;44367;1
399691;386;0.430556;0.444444;44363;0
399692;386;0.454861;0.458333;44363;0
399697;245;0.375;0.409722;44363;0
399701;61;0.416667;0.4375;44377;1
399716;195;0.4375;0.454861;44365;1
399778;430;0.375;0.440972;44368;1
399779;430;0.375;0.440972;44375;1
399846;61;0.416667;0.458333;44370;1
399851;61;0.354167;0.371528;44363;1
399896;300;0.333333;0.347222;44368;1
399906;300;0.347222;0.361111;44368;1
399909;41;0.541667;0.559028;44364;1
399918;300;0.583333;0.600694;44364;1
399921;300;0.347222;0.361111;44375;1
399936;61;0.375;0.392361;44363;1
399964;404;0.375;0.402778;44365;0
400035;181;0.722222;0.736111;44372;1
400060;386;0.444444;0.458333;44363;1
400062;300;0.631944;0.649306;44364;1
400124;464;0.458333;0.791667;44365;1
400141;61;0.295139;0.309028;44363;1
400146;11;0.690972;0.694444;44363;1
400159;55;0.40625;0.409722;44365;1
400237;61;0.458333;0.475694;44363;0
400239;11;0.729167;0.736111;44363;1
400273;181;0.819444;0.833333;44372;1
400280;300;0.680556;0.690972;44364;1
400283;51;0.652778;0.666667;44364;1
400300;11;0.416667;0.423611;44367;1
400302;145;0.430556;0.444444;44367;1
400303;61;0.416667;0.4375;44374;1
400337;61;0.5;0.517361;44367;1
400341;394;0.666667;0.697917;44370;1
400369;269;0.375;0.385417;44363;1
400373;195;0.670139;0.684028;44363;1
400374;195;0.6875;0.704861;44363;1
400385;131;0.458333;0.479167;44370;1
400416;504;0.354167;0.371528;44370;1
400454;92;0.729167;0.746528;44364;1
400462;92;0.75;0.767361;44364;1
400471;365;0.375;0.392361;44364;1
400496;73;0.444444;0.458333;44365;1
400498;506;0.645833;0.666667;44364;0
400510;437;0.479167;0.5;44363;0
400630;511;0.291667;0.305556;44363;1
400631;511;0.541667;0.555556;44363;1
400632;511;0.791667;0.805556;44363;1
400633;511;0.791667;0.805556;44364;1
400634;511;0.541667;0.555556;44364;1
400635;511;0.291667;0.305556;44364;1
400636;511;0.291667;0.305556;44365;1
