DCODE;WORKDATE;BHOUR;BMIN;FHOUR;FMIN
10000220;2021-06-28 00:00:00.000;19;30;20;0
10001687;2021-06-29 00:00:00.000;17;0;17;30
10000021;2021-06-28 00:00:00.000;8;30;9;0
10000021;2021-06-22 00:00:00.000;8;30;9;0
10000021;2021-06-23 00:00:00.000;8;30;9;0
10000021;2021-06-24 00:00:00.000;8;30;9;0
10000021;2021-06-29 00:00:00.000;8;30;9;0
10001642;2021-06-18 00:00:00.000;10;0;10;30
-1;2021-06-18 00:00:00.000;9;30;10;0
-1;2021-06-19 00:00:00.000;10;0;10;30
-1;2021-06-21 00:00:00.000;9;30;10;0
-1;2021-06-22 00:00:00.000;9;30;10;0
-1;2021-06-23 00:00:00.000;9;30;10;0
-1;2021-06-24 00:00:00.000;9;30;10;0
-1;2021-06-25 00:00:00.000;9;30;10;0
-1;2021-06-28 00:00:00.000;9;30;10;0
-1;2021-06-29 00:00:00.000;9;30;10;0
-1;2021-06-30 00:00:00.000;9;30;10;0
-1;2021-06-17 00:00:00.000;11;0;11;30
-1;2021-06-18 00:00:00.000;11;0;11;30
-1;2021-06-21 00:00:00.000;11;0;11;30
-1;2021-06-22 00:00:00.000;11;0;11;30
-1;2021-06-23 00:00:00.000;11;0;11;30
-1;2021-06-24 00:00:00.000;11;0;11;30
-1;2021-06-25 00:00:00.000;11;0;11;30
-1;2021-06-28 00:00:00.000;11;0;11;30
-1;2021-06-29 00:00:00.000;11;0;11;30
-1;2021-06-30 00:00:00.000;11;0;11;30
-1;2021-06-17 00:00:00.000;13;0;13;30
-1;2021-06-18 00:00:00.000;13;0;13;30
-1;2021-06-17 00:00:00.000;16;0;16;30
-1;2021-06-18 00:00:00.000;16;0;16;30
-1;2021-06-22 00:00:00.000;10;30;11;0
-1;2021-06-23 00:00:00.000;16;0;16;30
-1;2021-06-24 00:00:00.000;16;0;16;30
-1;2021-06-25 00:00:00.000;16;0;16;30
-1;2021-06-30 00:00:00.000;16;0;16;30
-1;2021-06-29 00:00:00.000;16;0;16;30
-1;2021-06-28 00:00:00.000;16;0;16;30
-1;2021-06-17 00:00:00.000;18;0;18;30
-1;2021-06-18 00:00:00.000;18;0;18;30
-1;2021-06-21 00:00:00.000;18;0;18;30
-1;2021-06-22 00:00:00.000;18;0;18;30
-1;2021-06-23 00:00:00.000;18;0;18;30
-1;2021-06-24 00:00:00.000;18;0;18;30
-1;2021-06-25 00:00:00.000;18;0;18;30
-1;2021-06-30 00:00:00.000;18;0;18;30
-1;2021-06-29 00:00:00.000;18;0;18;30
-1;2021-06-21 00:00:00.000;13;0;13;30
-1;2021-06-22 00:00:00.000;13;0;13;30
-1;2021-06-23 00:00:00.000;13;0;13;30
-1;2021-06-24 00:00:00.000;13;0;13;30
-1;2021-06-25 00:00:00.000;13;0;13;30
-1;2021-06-28 00:00:00.000;13;0;13;30
-1;2021-06-29 00:00:00.000;13;0;13;30
-1;2021-06-30 00:00:00.000;13;0;13;30
-1;2021-06-28 00:00:00.000;18;0;18;30
-1;2021-06-26 00:00:00.000;10;0;10;30
-1;2021-06-19 00:00:00.000;13;10;13;40
-1;2021-06-26 00:00:00.000;13;10;13;40
10000280;2021-06-23 00:00:00.000;19;0;19;30
10001486;2021-06-23 00:00:00.000;19;30;20;0
10001718;2021-06-23 00:00:00.000;18;30;19;0
10000280;2021-06-26 00:00:00.000;9;0;9;30
10001590;2021-06-18 00:00:00.000;13;30;14;0
10000308;2021-06-18 00:00:00.000;15;0;16;0
10000083;2021-06-30 00:00:00.000;11;30;12;0
10001544;2021-06-21 00:00:00.000;18;0;18;30
10001544;2021-06-17 00:00:00.000;17;0;17;30
10000185;2021-06-17 00:00:00.000;17;30;18;0
10000292;2021-06-21 00:00:00.000;8;40;9;0
-1;2021-06-17 00:00:00.000;13;20;13;40
-1;2021-06-17 00:00:00.000;13;40;14;0
-1;2021-06-26 00:00:00.000;13;20;13;40
-1;2021-06-28 00:00:00.000;13;20;13;40
-1;2021-06-26 00:00:00.000;13;40;14;0
-1;2021-06-28 00:00:00.000;13;40;14;0
-1;2021-06-26 00:00:00.000;13;0;13;20
-1;2021-06-28 00:00:00.000;13;0;13;20
10001570;2021-06-23 00:00:00.000;20;0;21;0
10001515;2021-06-22 00:00:00.000;12;0;12;30
10001575;2021-06-22 00:00:00.000;20;0;21;0
10001575;2021-06-19 00:00:00.000;15;0;16;0
10000321;2021-06-17 00:00:00.000;17;30;18;0
10001638;2021-06-17 00:00:00.000;14;0;14;30
-1;2021-06-23 00:00:00.000;9;0;9;15
-1;2021-06-29 00:00:00.000;9;0;9;15
-1;2021-06-24 00:00:00.000;9;0;9;15
-1;2021-06-25 00:00:00.000;9;0;9;15
-1;2021-06-18 00:00:00.000;9;15;9;30
-1;2021-06-25 00:00:00.000;9;15;9;30
-1;2021-06-18 00:00:00.000;9;30;9;45
-1;2021-06-25 00:00:00.000;9;30;9;45
-1;2021-06-18 00:00:00.000;9;45;10;0
-1;2021-06-25 00:00:00.000;9;45;10;0
10000303;2021-06-23 00:00:00.000;17;30;18;0
10000721;2021-06-17 00:00:00.000;19;30;20;0
10000672;2021-06-22 00:00:00.000;9;30;10;0
-1;2021-06-18 00:00:00.000;9;0;9;15
-1;2021-06-25 00:00:00.000;9;0;9;15
-1;2021-06-17 00:00:00.000;9;0;9;15
-1;2021-06-24 00:00:00.000;9;0;9;15
10001590;2021-06-23 00:00:00.000;18;0;18;30
10001524;2021-06-20 00:00:00.000;10;0;12;0
10001524;2021-06-26 00:00:00.000;10;0;12;0
10001524;2021-06-27 00:00:00.000;10;0;12;0
10000252;2021-06-17 00:00:00.000;13;0;13;30
10000083;2021-06-28 00:00:00.000;18;30;19;0
10001742;2021-06-21 00:00:00.000;9;0;17;30
10001742;2021-06-22 00:00:00.000;9;0;17;30
10001742;2021-06-25 00:00:00.000;9;0;17;30
10001742;2021-06-26 00:00:00.000;9;0;17;30
10001742;2021-06-27 00:00:00.000;9;0;17;30
10001742;2021-06-29 00:00:00.000;9;0;17;30
10001742;2021-06-30 00:00:00.000;9;0;17;30
10001418;2021-06-18 00:00:00.000;14;30;15;0
10001590;2021-06-19 00:00:00.000;10;0;10;30
10000083;2021-06-28 00:00:00.000;18;0;18;30
10000083;2021-06-28 00:00:00.000;19;0;19;30
10001590;2021-06-18 00:00:00.000;11;30;12;0
10000252;2021-06-18 00:00:00.000;12;0;12;30
10000252;2021-06-17 00:00:00.000;12;0;12;30
10001776;2021-06-29 00:00:00.000;8;30;9;0
10000292;2021-06-28 00:00:00.000;8;0;8;20
10000721;2021-06-17 00:00:00.000;19;0;19;30
10001544;2021-06-17 00:00:00.000;18;30;19;0
10001544;2021-06-22 00:00:00.000;19;0;19;30
10001638;2021-06-17 00:00:00.000;9;30;10;0
10001637;2021-06-21 00:00:00.000;8;30;9;0
10001590;2021-06-23 00:00:00.000;16;0;16;30
10000083;2021-06-28 00:00:00.000;17;0;17;30
10000321;2021-06-24 00:00:00.000;20;0;20;30
10000321;2021-06-17 00:00:00.000;20;0;20;30
10000321;2021-06-18 00:00:00.000;20;0;20;30
10000321;2021-06-22 00:00:00.000;20;0;20;30
10000321;2021-06-23 00:00:00.000;20;0;20;30
10000321;2021-06-18 00:00:00.000;19;30;20;0
10001731;2021-06-18 00:00:00.000;20;0;20;20
10000321;2021-06-19 00:00:00.000;15;0;15;30
10001731;2021-06-17 00:00:00.000;20;0;20;20
10000321;2021-06-17 00:00:00.000;20;30;21;0
10000252;2021-06-17 00:00:00.000;10;0;10;30
10001554;2021-06-30 00:00:00.000;16;0;16;30
10001590;2021-06-18 00:00:00.000;8;0;8;30
10000185;2021-06-22 00:00:00.000;18;0;18;30
10001703;2021-06-22 00:00:00.000;18;30;19;0
10001554;2021-06-17 00:00:00.000;11;0;11;30
10000380;2021-06-19 00:00:00.000;10;0;10;30
10001554;2021-06-17 00:00:00.000;9;0;9;30
10001749;2021-06-19 00:00:00.000;13;0;13;30
